前項(購買A),後項(購買B),antecedent support,consequent support,支持度,信賴度,提升度,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
線上備份服務,網路服務,0.3267888307155323,0.7670157068062827,0.3267888307155323,1.0,1.3037542662116042,1.0,0.07613666474785963,inf,0.3460790667530784,0.42605233219567684,1.0,0.7130261660978384
線上安全服務,網路服務,0.2962478184991274,0.7670157068062827,0.2962478184991274,1.0,1.3037542662116042,1.0,0.06902108860319983,inf,0.3310601363918165,0.3862343572241183,1.0,0.6931171786120591
設備保護計劃,網路服務,0.3403141361256545,0.7670157068062827,0.3403141361256545,1.0,1.3037542662116042,1.0,0.07928784846906611,inf,0.3531746031746033,0.4436860068259387,1.0,0.7218430034129693
電影節目,網路服務,0.39048865619546247,0.7670157068062827,0.39048865619546247,1.0,1.3037542662116042,1.0,0.0909777235638643,inf,0.3822476735862563,0.5091012514220705,1.0,0.7545506257110353
電視節目,網路服務,0.38219895287958117,0.7670157068062827,0.38219895287958117,1.0,1.3037542662116042,1.0,0.08904635289602808,inf,0.37711864406779666,0.4982935153583618,1.0,0.7491467576791809
音樂節目,網路服務,0.3568935427574171,0.7670157068062827,0.3568935427574171,1.0,1.3037542662116042,1.0,0.08315058980473855,inf,0.36227951153324295,0.4653014789533561,1.0,0.732650739476678
設備保護計劃,電影節目,0.3403141361256545,0.39048865619546247,0.231239092495637,0.6794871794871795,1.7400945423291794,1.0,0.0983502827956105,1.9016753926701573,0.6447289607666967,0.4628820960698691,0.47414789934474977,0.6358329752184502
設備保護計劃,電視節目,0.3403141361256545,0.38219895287958117,0.2238219895287958,0.6576923076923077,1.7208113804004215,1.0,0.09375428305145142,1.8048120477675156,0.634967047247749,0.4488188976377953,0.4459256844850065,0.6216543730242361
設備保護計劃,音樂節目,0.3403141361256545,0.3568935427574171,0.2094240837696335,0.6153846153846153,1.7242806093661838,1.0,0.08796816607731879,1.672076788830715,0.6367394179894181,0.4293381037567084,0.4019413422398496,0.6010908406996427
電視節目,電影節目,0.38219895287958117,0.39048865619546247,0.27705061082024435,0.7248858447488584,1.8563557052116018,1.0,0.12780625531098383,2.215485216484543,0.7466969171226479,0.5589788732394366,0.5486316078485207,0.7171915257263846
電影節目,電視節目,0.39048865619546247,0.38219895287958117,0.27705061082024435,0.7094972067039107,1.856355705211602,1.0,0.12780625531098383,2.1266612968183654,0.7568524227957548,0.5589788732394366,0.5297793769529402,0.7171915257263846
電影節目,音樂節目,0.39048865619546247,0.3568935427574171,0.34336823734729494,0.8793296089385475,2.4638428651432163,1.0,0.2040053574311133,5.3294470299269605,0.9747644025725848,0.849892008639309,0.8123632725150279,0.9207161492125501
音樂節目,電影節目,0.3568935427574171,0.39048865619546247,0.34336823734729494,0.9621026894865526,2.4638428651432163,1.0,0.2040053574311133,16.083234813939118,0.9238438740799871,0.849892008639309,0.9378234533308365,0.9207161492125501
電視節目,音樂節目,0.38219895287958117,0.3568935427574171,0.24738219895287958,0.6472602739726027,1.8135948018890042,1.0,0.11097786062151074,1.8231755875226616,0.7261381639912714,0.5031055900621119,0.4515064775747662,0.6702071541012158
音樂節目,電視節目,0.3568935427574171,0.38219895287958117,0.24738219895287958,0.6931540342298289,1.8135948018890042,1.0,0.11097786062151074,2.0133914603366643,0.6975655632372051,0.5031055900621119,0.5033255977787908,0.6702071541012158
